test,approach,answer,time
email-Enron,AF-WCC,290,8.146145266000001
email-Enron,AF-WCC,291,8.146148376000001
email-Enron,AF-WCC,292,8.146153053
email-Enron,AF-WCC,293,8.146155893000001
email-Enron,AF-WCC,294,8.146161466
email-Enron,AF-WCC,295,8.146163313
email-Enron,AF-WCC,296,8.146169189
email-Enron,AF-WCC,297,8.146170452
email-Enron,AF-WCC,298,8.146177302
email-Enron,AF-WCC,299,8.14617769
email-Enron,AF-WCC,300,8.146185478000001
email-Enron,AF-WCC,301,8.146185851
email-Enron,AF-WCC,302,8.146193610000001
email-Enron,AF-WCC,303,8.146193626
email-Enron,AF-WCC,304,8.146201894
email-Enron,AF-WCC,305,8.146201897000001
email-Enron,AF-WCC,306,8.146210203
email-Enron,AF-WCC,307,8.14621069
email-Enron,AF-WCC,308,8.146218239000001
email-Enron,AF-WCC,309,8.146219304
email-Enron,AF-WCC,310,8.146226245000001
email-Enron,AF-WCC,311,8.14622669
email-Enron,AF-WCC,312,8.146234383000001
email-Enron,AF-WCC,313,8.146234656
email-Enron,AF-WCC,314,8.146242228
email-Enron,AF-WCC,315,8.146242636
email-Enron,AF-WCC,316,8.146250174
email-Enron,AF-WCC,317,8.146250374000001
email-Enron,AF-WCC,318,8.146258284
email-Enron,AF-WCC,319,8.146258287
email-Enron,AF-WCC,320,8.146266695000001
email-Enron,AF-WCC,321,8.146267299
email-Enron,AF-WCC,322,8.146274847
email-Enron,AF-WCC,323,8.146277935
email-Enron,AF-WCC,324,8.146283441000001
email-Enron,AF-WCC,325,8.146287109000001
email-Enron,AF-WCC,326,8.146311875
email-Enron,AF-WCC,327,8.146311877
email-Enron,AF-WCC,328,8.146324379000001
email-Enron,AF-WCC,329,8.146325139
email-Enron,AF-WCC,330,8.146336223
email-Enron,AF-WCC,331,8.14633658
email-Enron,AF-WCC,332,8.146346402
email-Enron,AF-WCC,333,8.146349201000001
email-Enron,AF-WCC,334,8.146363185
email-Enron,AF-WCC,335,8.146365264
email-Enron,AF-WCC,336,8.146375693000001
email-Enron,AF-WCC,337,8.146383113
email-Enron,AF-WCC,338,8.146385967
email-Enron,AF-WCC,339,8.146396507
email-Enron,AF-WCC,340,8.146398867
email-Enron,AF-WCC,341,8.146406336
email-Enron,AF-WCC,342,8.146408964
email-Enron,AF-WCC,343,8.14641628
email-Enron,AF-WCC,344,8.146417837000001
email-Enron,AF-WCC,345,8.146426120000001
email-Enron,AF-WCC,346,8.146426385
email-Enron,AF-WCC,347,8.146437449
email-Enron,AF-WCC,348,8.146439372
email-Enron,AF-WCC,349,8.146448429000001
email-Enron,AF-WCC,350,8.146448431000001
email-Enron,AF-WCC,351,8.146458885000001
email-Enron,AF-WCC,352,8.146461741000001
email-Enron,AF-WCC,353,8.146468602
email-Enron,AF-WCC,354,8.146477743
email-Enron,AF-WCC,355,8.146478583
email-Enron,AF-WCC,356,8.146487527
email-Enron,AF-WCC,357,8.146492570000001
email-Enron,AF-WCC,358,8.146496797000001
email-Enron,AF-WCC,359,8.146502093
email-Enron,AF-WCC,360,8.146506599
email-Enron,AF-WCC,361,8.146513302
email-Enron,AF-WCC,362,8.146516556
email-Enron,AF-WCC,363,8.146528516
email-Enron,AF-WCC,364,8.146539067
email-Enron,AF-WCC,365,8.146548437
email-Enron,AF-WCC,366,8.146557864
email-Enron,AF-WCC,367,8.146566523
email-Enron,AF-WCC,368,8.146575872
email-Enron,AF-WCC,369,8.146584896
email-Enron,AF-WCC,370,8.146595081000001
email-Enron,AF-WCC,371,8.146604204
email-Enron,AF-WCC,372,8.146623729
email-Enron,AF-WCC,373,8.146633846
email-Enron,AF-WCC,374,8.146644926
email-Enron,AF-WCC,375,8.146656642
email-Enron,AF-WCC,376,8.146666319000001
email-Enron,AF-WCC,377,8.146677536
email-Enron,AF-WCC,378,8.146690363000001
email-Enron,AF-WCC,379,8.146699732
email-Enron,AF-WCC,380,8.14672146
email-Enron,AF-WCC,381,8.146745386000001
email-Enron,AF-WCC,382,8.146783088000001
email-Enron,AF-WCC,383,8.146802197000001
email-Enron,AF-WCC,384,8.146822742000001
email-Enron,AF-WCC,385,8.146847763
email-Enron,AF-WCC,386,8.146872663
email-Enron,AF-WCC,387,8.14689839
email-Enron,AF-WCC,388,8.146927206
email-Enron,AF-WCC,389,8.146946066
email-Enron,AF-WCC,390,8.146964714000001
email-Enron,AF-WCC,391,8.146983557
email-Enron,AF-WCC,392,8.14700309
email-Enron,AF-WCC,393,8.147022801
email-Enron,AF-WCC,394,8.147042348000001
email-Enron,AF-WCC,395,8.147062558
email-Enron,AF-WCC,396,8.147086434
email-Enron,AF-WCC,397,8.147112006
email-Enron,AF-WCC,398,8.147132871
email-Enron,AF-WCC,399,8.147150462
email-Enron,AF-WCC,400,8.147926678000001
email-Enron,AF-WCC,401,8.147978643
email-Enron,AF-WCC,402,8.147988942000001
email-Enron,AF-WCC,403,8.148003763
email-Enron,AF-WCC,404,8.148006529
email-Enron,AF-WCC,405,8.148014556
email-Enron,AF-WCC,406,8.148017150000001
email-Enron,AF-WCC,407,8.148026759
email-Enron,AF-WCC,408,8.14802819
email-Enron,AF-WCC,409,8.148037706
email-Enron,AF-WCC,410,8.148039955
email-Enron,AF-WCC,411,8.14804719
email-Enron,AF-WCC,412,8.148051144
email-Enron,AF-WCC,413,8.148056178000001
email-Enron,AF-WCC,414,8.148060046000001
email-Enron,AF-WCC,415,8.148068749
email-Enron,AF-WCC,416,8.148071657000001
email-Enron,AF-WCC,417,8.148079696
email-Enron,AF-WCC,418,8.148081209
email-Enron,AF-WCC,419,8.148090042
email-Enron,AF-WCC,420,8.148090938000001
email-Enron,AF-WCC,421,8.148099558
email-Enron,AF-WCC,422,8.148101812
email-Enron,AF-WCC,423,8.148128766000001
email-Enron,AF-WCC,424,8.14813387
email-Enron,AF-WCC,425,8.148140766000001
email-Enron,AF-WCC,426,8.148142981000001
email-Enron,AF-WCC,427,8.148149772
email-Enron,AF-WCC,428,8.148157129000001
email-Enron,AF-WCC,429,8.148159544
email-Enron,AF-WCC,430,8.148167261000001
email-Enron,AF-WCC,431,8.148170615
email-Enron,AF-WCC,432,8.148177722
email-Enron,AF-WCC,433,8.148181996
email-Enron,AF-WCC,434,8.148186855
email-Enron,AF-WCC,435,8.148191134000001
email-Enron,AF-WCC,436,8.148196192
email-Enron,AF-WCC,437,8.148202821
email-Enron,AF-WCC,438,8.148206535
email-Enron,AF-WCC,439,8.148211793
email-Enron,AF-WCC,440,8.148215728
email-Enron,AF-WCC,441,8.148222291
email-Enron,AF-WCC,442,8.14822502
email-Enron,AF-WCC,443,8.148233866
email-Enron,AF-WCC,444,8.148237375
email-Enron,AF-WCC,445,8.148244503
email-Enron,AF-WCC,446,8.148246755
email-Enron,AF-WCC,447,8.148254340000001
email-Enron,AF-WCC,448,8.148256865
email-Enron,AF-WCC,449,8.148265028
email-Enron,AF-WCC,450,8.148267074000001
email-Enron,AF-WCC,451,8.148275729
email-Enron,AF-WCC,452,8.148277236
email-Enron,AF-WCC,453,8.148285965000001
email-Enron,AF-WCC,454,8.148288541000001
email-Enron,AF-WCC,455,8.148295338
email-Enron,AF-WCC,456,8.148298514
email-Enron,AF-WCC,457,8.148305243000001
email-Enron,AF-WCC,458,8.148308484000001
email-Enron,AF-WCC,459,8.148316075
email-Enron,AF-WCC,460,8.148321561000001
email-Enron,AF-WCC,461,8.148325837
email-Enron,AF-WCC,462,8.148332459
email-Enron,AF-WCC,463,8.148335716
email-Enron,AF-WCC,464,8.148341179
email-Enron,AF-WCC,465,8.148345561000001
email-Enron,AF-WCC,466,8.148350206
email-Enron,AF-WCC,467,8.148355246000001
email-Enron,AF-WCC,468,8.148359981
email-Enron,AF-WCC,469,8.148364208
email-Enron,AF-WCC,470,8.148369021
email-Enron,AF-WCC,471,8.148378619
email-Enron,AF-WCC,472,8.148379788
email-Enron,AF-WCC,473,8.148388446
email-Enron,AF-WCC,474,8.148391154
email-Enron,AF-WCC,475,8.148399367
email-Enron,AF-WCC,476,8.148400792
email-Enron,AF-WCC,477,8.148410775
email-Enron,AF-WCC,478,8.14841208
email-Enron,AF-WCC,479,8.148421461
email-Enron,AF-WCC,480,8.148422512
email-Enron,AF-WCC,481,8.148431685
email-Enron,AF-WCC,482,8.148433017
email-Enron,AF-WCC,483,8.148442407000001
email-Enron,AF-WCC,484,8.148443433
email-Enron,AF-WCC,485,8.148455081
email-Enron,AF-WCC,486,8.14845523
email-Enron,AF-WCC,487,8.148465305
email-Enron,AF-WCC,488,8.148466569
email-Enron,AF-WCC,489,8.148477100000001
email-Enron,AF-WCC,490,8.1484774
email-Enron,AF-WCC,491,8.148488134
email-Enron,AF-WCC,492,8.148489131
email-Enron,AF-WCC,493,8.148498755
email-Enron,AF-WCC,494,8.148500008000001
email-Enron,AF-WCC,495,8.148513696
email-Enron,AF-WCC,496,8.148513757
email-Enron,AF-WCC,497,8.149562503
email-Enron,AF-WCC,498,8.149568767
email-Enron,AF-WCC,499,8.149583830000001
email-Enron,AF-WCC,500,8.149585162000001
email-Enron,AF-WCC,501,8.149588886
email-Enron,AF-WCC,502,8.149594354000001
email-Enron,AF-WCC,503,8.149601668
email-Enron,AF-WCC,504,8.149609686
email-Enron,AF-WCC,505,8.149612774000001
email-Enron,AF-WCC,506,8.149619276000001
email-Enron,AF-WCC,507,8.149622500000001
email-Enron,AF-WCC,508,8.14963019
email-Enron,AF-WCC,509,8.149637016
email-Enron,AF-WCC,510,8.149639004
email-Enron,AF-WCC,511,8.149642761
email-Enron,AF-WCC,512,8.149646832
email-Enron,AF-WCC,513,8.149654712
email-Enron,AF-WCC,514,8.149655091
email-Enron,AF-WCC,515,8.149656573
email-Enron,AF-WCC,516,8.149669534000001
email-Enron,AF-WCC,517,8.149670079
email-Enron,AF-WCC,518,8.149670514
email-Enron,AF-WCC,519,8.149679728
email-Enron,AF-WCC,520,8.149683654
email-Enron,AF-WCC,521,8.149688053
email-Enron,AF-WCC,522,8.149689906
email-Enron,AF-WCC,523,8.149694809
email-Enron,AF-WCC,524,8.149702139
email-Enron,AF-WCC,525,8.149702438
email-Enron,AF-WCC,526,8.149705878
email-Enron,AF-WCC,527,8.149712661
email-Enron,AF-WCC,528,8.149717837
email-Enron,AF-WCC,529,8.149723137
email-Enron,AF-WCC,530,8.149724776000001
email-Enron,AF-WCC,531,8.149732032000001
email-Enron,AF-WCC,532,8.149735874000001
email-Enron,AF-WCC,533,8.149737691
email-Enron,AF-WCC,534,8.149746193
email-Enron,AF-WCC,535,8.149747399
email-Enron,AF-WCC,536,8.149749366
email-Enron,AF-WCC,537,8.149757334
email-Enron,AF-WCC,538,8.149761088
email-Enron,AF-WCC,539,8.149762761
email-Enron,AF-WCC,540,8.149766241
email-Enron,AF-WCC,541,8.149774762
email-Enron,AF-WCC,542,8.149776868
email-Enron,AF-WCC,543,8.149778552
email-Enron,AF-WCC,544,8.149787847
email-Enron,AF-WCC,545,8.149788345000001
email-Enron,AF-WCC,546,8.149791883
email-Enron,AF-WCC,547,8.149799764
email-Enron,AF-WCC,548,8.149802383
email-Enron,AF-WCC,549,8.149805793
email-Enron,AF-WCC,550,8.149811291
email-Enron,AF-WCC,551,8.149817743
email-Enron,AF-WCC,552,8.149817874
email-Enron,AF-WCC,553,8.149821637
email-Enron,AF-WCC,554,8.149832342
email-Enron,AF-WCC,555,8.149832406
email-Enron,AF-WCC,556,8.149832464000001
email-Enron,AF-WCC,557,8.149844954
email-Enron,AF-WCC,558,8.14984533
email-Enron,AF-WCC,559,8.149847641000001
email-Enron,AF-WCC,560,8.149857518000001
email-Enron,AF-WCC,561,8.149857560000001
email-Enron,AF-WCC,562,8.149860942
email-Enron,AF-WCC,563,8.149869373000001
email-Enron,AF-WCC,564,8.149870929
email-Enron,AF-WCC,565,8.149873744
email-Enron,AF-WCC,566,8.149879496
email-Enron,AF-WCC,567,8.149882687
email-Enron,AF-WCC,568,8.149887094
email-Enron,AF-WCC,569,8.149888594
email-Enron,AF-WCC,570,8.149893316
email-Enron,AF-WCC,571,8.149900597
email-Enron,AF-WCC,572,8.149900723
email-Enron,AF-WCC,573,8.149903431
email-Enron,AF-WCC,574,8.14991455
email-Enron,AF-WCC,575,8.149915821
email-Enron,AF-WCC,576,8.149923254
email-Enron,AF-WCC,577,8.149926539
email-Enron,AF-WCC,578,8.149926937
email-Enron,AF-WCC,579,8.149938048000001
email-Enron,AF-WCC,580,8.149939416
email-Enron,AF-WCC,581,8.149944284
email-Enron,AF-WCC,582,8.149953769
email-Enron,AF-WCC,583,8.149954074
email-Enron,AF-WCC,584,8.149954802
email-Enron,AF-WCC,585,8.14996723
email-Enron,AF-WCC,586,8.149968693
email-Enron,AF-WCC,587,8.149972465000001
email-Enron,AF-WCC,588,8.149979014000001
email-Enron,AF-WCC,589,8.149980019000001
email-Enron,AF-WCC,590,8.149984578
email-Enron,AF-WCC,591,8.149990354
email-Enron,AF-WCC,592,8.149992965000001
email-Enron,AF-WCC,593,8.149996522
email-Enron,AF-WCC,594,8.150001150000001
email-Enron,AF-WCC,595,8.150007302
email-Enron,AF-WCC,596,8.150007632000001
email-Enron,AF-WCC,597,8.150010875000001
email-Enron,AF-WCC,598,8.150021064
email-Enron,AF-WCC,599,8.150025065000001
email-Enron,AF-WCC,600,8.150025197
email-Enron,AF-WCC,601,8.150034297000001
email-Enron,AF-WCC,602,8.150038821
email-Enron,AF-WCC,603,8.150039653
email-Enron,AF-WCC,604,8.150048954
email-Enron,AF-WCC,605,8.150052663
email-Enron,AF-WCC,606,8.150052806
email-Enron,AF-WCC,607,8.150061073
email-Enron,AF-WCC,608,8.150064625
email-Enron,AF-WCC,609,8.150066553
email-Enron,AF-WCC,610,8.150070751000001
email-Enron,AF-WCC,611,8.150076421
email-Enron,AF-WCC,612,8.150081898
email-Enron,AF-WCC,613,8.150082416
email-Enron,AF-WCC,614,8.150087135
email-Enron,AF-WCC,615,8.150095998000001
email-Enron,AF-WCC,616,8.150097145
email-Enron,AF-WCC,617,8.150097387
email-Enron,AF-WCC,618,8.15010855
email-Enron,AF-WCC,619,8.150110984000001
email-Enron,AF-WCC,620,8.150115012
email-Enron,AF-WCC,621,8.150120125
email-Enron,AF-WCC,622,8.150122726000001
email-Enron,AF-WCC,623,8.150126030000001
email-Enron,AF-WCC,624,8.150133330000001
email-Enron,AF-WCC,625,8.150137831
email-Enron,AF-WCC,626,8.150142402
email-Enron,AF-WCC,627,8.150145132
email-Enron,AF-WCC,628,8.150147973000001
email-Enron,AF-WCC,629,8.150158291
email-Enron,AF-WCC,630,8.150160498
email-Enron,AF-WCC,631,8.150161045
email-Enron,AF-WCC,632,8.150170536000001
email-Enron,AF-WCC,633,8.150172916
email-Enron,AF-WCC,634,8.150173728
email-Enron,AF-WCC,635,8.150182428
email-Enron,AF-WCC,636,8.150183897
email-Enron,AF-WCC,637,8.150195486000001
email-Enron,AF-WCC,638,8.150197429
email-Enron,AF-WCC,639,8.150199543000001
email-Enron,AF-WCC,640,8.15020776
email-Enron,AF-WCC,641,8.150208486
email-Enron,AF-WCC,642,8.150212564
email-Enron,AF-WCC,643,8.150220648000001
email-Enron,AF-WCC,644,8.150221471
email-Enron,AF-WCC,645,8.150223758000001
email-Enron,AF-WCC,646,8.150231798
email-Enron,AF-WCC,647,8.150235026
email-Enron,AF-WCC,648,8.150235581
